picUrl,name,profileLink,department,deptLink
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Dania Dahmash,https://pureportal.coventry.ac.uk/en/persons/dania-dahmash,Centre for Intelligent Healthcare,https://pureportal.coventry.ac.uk/en/organisations/centre-for-intelligent-healthcare
https://pureportal.coventry.ac.uk//files-asset/13460208/Alireza_Daneshkhah_sas.jpg,Alireza Daneshkhah,https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,"School of Computing, Mathematics and Data Sciences",https://pureportal.coventry.ac.uk/en/organisations/school-of-computing-mathematics-and-data-sciences
https://pureportal.coventry.ac.uk//files-asset/51472196/COV_FBAL_5760_3.jpg,Amir Daneshvar,https://pureportal.coventry.ac.uk/en/persons/amir-daneshvar,School of Strategy and Leadership,https://pureportal.coventry.ac.uk/en/organisations/school-of-strategy-and-leadership
https://pureportal.coventry.ac.uk//files-asset/43277283/QA_Photo_COV_2020_copy.jpg,QueAnh Dang,https://pureportal.coventry.ac.uk/en/persons/que-anh-dang,Centre Global Learning,https://pureportal.coventry.ac.uk/en/organisations/centre-global-learning
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Isabelle Daniels,https://pureportal.coventry.ac.uk/en/persons/isabelle-daniels,"School of Psychological, Social and Behavioural Sciences",https://pureportal.coventry.ac.uk/en/organisations/school-of-psychological-social-and-behavioural-sciences
https://pureportal.coventry.ac.uk//files-asset/59229956/ID_lower.png,Daniel Dao,https://pureportal.coventry.ac.uk/en/persons/daniel-dao,Research Centre for Financial & Corporate Integrity,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-financial-corporate-integrity-2
https://pureportal.coventry.ac.uk//files-asset/23960400/IMG_9588.JPG,Ali Hossain Alewai Daraji,https://pureportal.coventry.ac.uk/en/persons/ali-hossain-alewai-daraji,School of Mechanical Engineering,https://pureportal.coventry.ac.uk/en/organisations/school-of-mechanical-engineering
https://pureportal.coventry.ac.uk//files-asset/19577290/20160214_130032.jpg,Francis Darko,https://pureportal.coventry.ac.uk/en/persons/francis-darko,"School of Economics, Finance and Accounting",https://pureportal.coventry.ac.uk/en/organisations/school-of-economics-finance-and-accounting
https://pureportal.coventry.ac.uk//files-asset/55108/photo.jpeg,Marwan Darweish,https://pureportal.coventry.ac.uk/en/persons/marwan-darweish,"Centre for Trust, Peace and Social Relations",https://pureportal.coventry.ac.uk/en/organisations/centre-for-trust-peace-and-social-relations-3
https://pureportal.coventry.ac.uk//files-asset/13266947/IMG_0179.jpg,Richard Dashwood,https://pureportal.coventry.ac.uk/en/persons/richard-dashwood,Vice-Chancellor's Office,https://pureportal.coventry.ac.uk/en/organisations/vice-chancellors-office
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Maria Antonieta Da Silva Fostier,https://pureportal.coventry.ac.uk/en/persons/maria-antonieta-da-silva-fostier,"Centre for Trust, Peace and Social Relations",https://pureportal.coventry.ac.uk/en/organisations/centre-for-trust-peace-and-social-relations-3
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Yamuna Dass,https://pureportal.coventry.ac.uk/en/persons/yamuna-dass,Mathematics Support Centre,https://pureportal.coventry.ac.uk/en/organisations/mathematics-support-centre
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Sanghamitra Datta,https://pureportal.coventry.ac.uk/en/persons/sanghamitra-datta,School of Art and Design,https://pureportal.coventry.ac.uk/en/organisations/school-of-art-and-design
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Soumyadeep Datta,https://pureportal.coventry.ac.uk/en/persons/soumyadeep-datta,Centre for Manufacturing and Materials,https://pureportal.coventry.ac.uk/en/organisations/centre-for-manufacturing-and-materials
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Ravi Dave,https://pureportal.coventry.ac.uk/en/persons/ravi-dave,"School of Psychological, Social and Behavioural Sciences",https://pureportal.coventry.ac.uk/en/organisations/school-of-psychological-social-and-behavioural-sciences
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Sharon Davenport,https://pureportal.coventry.ac.uk/en/persons/sharon-davenport,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//files-asset/29358414/Profile_picture_2_.jpg,Sarah Davey,https://pureportal.coventry.ac.uk/en/persons/sarah-davey,"Centre for Physical Activity, Sport and Exercise Sciences",https://pureportal.coventry.ac.uk/en/organisations/centre-for-physical-activity-sport-and-exercise-sciences
